Comment,Rating
na ja tourist wahrscheinlich alt berlinfür berliner eher ne hipster absteig extrem laut geräuschpegel lässen schon mal gespräch erstumm heutig zeit ausser mode scheinen tür schließen jederzeit frei blick keller örtlichkeit befinden bouletn ebenfalls fleisch abbekommen schnitzel bratkartoffel gut bier lecker bedienung freundlich insgesamt gastronomisch highlight,3
stadtklause direkt nähe bahnhof anhalterbahnhof lokal klein eng laut wer ruhig gemütlich mögen falsch dieübersichtlich speisekarte bieten brote suppe schnitzel kulinarisch wunder erwarten dafür schnitzel bratkartoffeln spiegelei geben biersort berliner durchschnitt entsprechen probieren geräuschpegel hoch manchmal fast anbrüllen daher stern abzug wer kultig kneipe suchen genau richtig,4
mal essen bestellen brotzeit hammer zentimeter dick angeschnitten salami käse zwiebelmett toll brot,5
nähe potsdamer platzes anhalter bahnhof eher groß kühl gastronomisch einrichtung stadtklause angenehm fast familiär kontrast klein regional karte boulett schnitzel bratkartoffeln stulle wirklich zivil preis sowohl vieler einheimisch weniger tourist freundlich bedienen umsorgen stern geschwanken wegen freundlich bedienung gut preisangemessen essen stern entscheiden,5
toll kiez student kneipe lecker bodenständig essen bulett schnitzel bratkartoffeln salat gut urig einrichten gut reservieren sicher geheimtip mehr,4
definitiv empfehlung authentisch ehrlich buletten müssen,5
weniger berliner original essen günstig hausmannskost gericht frisch selbstgemacht bier rhön streck bräu sein erwähnen schmackhaft eben alltäglich wer schön berliner gastwirtschaft best bier bodenständig speise suchen stadtklause anhalt bahnhof fündig,5
lecker bodenständig essen toll atmosphähr nett service übersichtlich karte rustikal ambiente gut fallen essen meinung heisser servieren klagen hoch niveau,5
urig kneipe nett normal leute flink bedienung kommen groß gruppe vorreserviern klappen schnürch essen lecker hausmannskost winter frühling draußen paar decken wärmen sein schön abstieg toilette paar bier gefährlich,4
hm kurz besuch aufgrund gut empfehlung wollen gerne stadtklause freundin platz reservieren reservierung ankamen mehr wissen wort entschuldigung gäste recht unhöflich bänk zurechtgeschobe sodass linker pobacke bank gepasst haben sein essen allerdings mehr ungemütlich oben sein ja platz murmelt kellner schauen mal holländisch treppe oben kahl leer dachgeschoss kalt weiß dahingeworfen möbel wollen essen entschieden dafür woanders gehen schade bewertung scheinen ja echt gut nochmal ecke nochmal ausprobieren beitrag aktualisieren,2
einfach rustikal authentisch lecker karte übersichtlich geben brote selbstgemacht bulletten schnitzel mehrere variant beider bratkartoffeln euro keller klein museum,5
speziell urig glück mainstream deftig gut günstig hausmannskost richtig gut bier unterfrank publikum einzeln touris stammkunde locker atmosphäre einfach gemütlich passen gut berlin bitte ändern kommen sicher,4
wohl verrücktest kellner je einzigartig kneipe stadtklause verstecken kellergewölb sitzen günstig deutsch essen bier eigentlich touristisch überflutet potsdamer platz ecke gerade hoch bierpreisen umgebung sony center liefern stadtklause entspannung geldbeutel preis leistung stimmen,4
gemütlich stadtklause fall gut zeit urig kneipe extrem lecker stulle absolut empfehlenswern,5
urgemütlich gewöhnungsbedürftig inneneinrichtung lecker essen günstig preis nett leute kommen gern,5
klein etablissemang anhalter bahnhof gut finden bei eintreten fallen sofort kachelofen gemütlich feuer brennen werden herzlich begrüßen recht übersichtlich karte versorgen geben berliner küche bulett schnitzel ei bauernfrühstück bratkartoffeln schnittchen bestellt mittelgroß brotteller vorspeis person zwiebelmett schmalz leberwurst schinken käse definitiv gut wahl brot schmecken frisch mischung lecker schnittche mundgerecht geschnitt gemüse ordentlich berg aufschichten hauptgang bestellt schnitzel buletten jeweils spiegelei sowie bauernfrühstück bratkartoffeln speckrühreipfanne essiggurk portion großzügig gut schmecken fass geben kräftig pils dunkl einzig manko seehr rustikal holzbänke dauer bequem insgesamt gut abend nett laden nett atmosphäre gut essen vernünftig preis,4
urig laden draußen nahezu sitzplätz drinnen fühlen vergangen zeit zurückversetzt holzbänke berliner bahn alt aufnahme anhalt bahnhof groß überirdisch bahnhof speisenauswahl begrenzt finden teuer offenbar hausgemacht boulett kartoffelsalat beide großmarkt lecker bier klein privatbrauerei weniger schritt aufgebrezelt überteuert potsdamer platz entfernen daher urtypisch oase,4
berlin touristen nett kneipe zufall entdecken essen schmackhaft frisch wer hausmannskost fair preis mögen perfekt aufheben bekommen teller frisch belegt brot,5
freund belegt brot paradies fühlenes geben stulle sogar restauration verstecken zufällig kommen wohl eher vorbei trotzdem zentral geleben nämlich nächster nähe potsdamer platz finden scheinbar aussterben bedroht butterbrot de essensart butterbrot gut qualitat vonklappstullennichtsobegeistert tochter öfter kalorientanke einkehren neben weit gut preiswert dingen speisekart haus kultur bieten ab dezember geben ausstellung berlin greifen nah historisch foto technik stullekuckßu -- st,4
öfteren mittags stadtklause werktags drei vier gericht anbieten eins davon immer vegetarisch sowie eins meistens eintopf suppe erhalten wirklich solide hausmannskost fair preis rustikalem ambietente,4
wahnsinnig gut mittagstisch wer satt rausgehen helfen geben regel drei gericht angebot eins davon vegetarisch selbstbedienung zahlen essen wer hunger immer nachschlag fragen ganz euro besonders emfehl suppen eintöpfe machen brot beilage,5
bruno geben regentage berlin abend manchmal tag retten neulich stufenbeim open stage rechts neben sitzen zwei hübsch frau bar schweiz kurz mal berlin event kommen seitdem leben seit jahr berlin machen arm stadt schweiz geld verdienen sag kurz einundzwanzig uhr meinen berlin isses schweiz mal kruziweis buckeli runter rursch links neben sitzen mittelgroß blond berlinisch parlierender berliner fahrradreparateur nie schweiz kurzdunkelhaarige lebhaft schweizerin brennend interesse sitzen dazwischen sagen beide souterrain verraten gehen essen bekommen hau ab geh mal stadtklause -- minute fuß meinen schweizerin bestell suppe immer kurz feierabend kennen ok sagen mal hochzeit einladen geh wirklich stift minute eingang stadtklause eigentlich wohn ja seit vieler jahr askanisch platz nie stadtklause bisher denken sein janz mies kaschemm wirklich verlieren haben kulturlos gnatzig wirt schlecht luft stinkend klosett mal jemand fragen kulturell interessant askanisch platz können bisher immer antwort zwei verborgen hobby schatzkistchen geocaches com einer eins tempodrom guardini galerie momentan wohl sommerpause winterschlaf fallen manchmal täuschen berlin selber nachsehen oft gut drin stadtklause kommen staun mehr hinaus heute stehen knapp gebäud jahr acht stehen zeitungsausschnitt schräg wand leckere kartoffelsuppe löffle stadtklause früh gründerzeit askania klause nennen liegen bauen eigentlich berlin brandenburg akzisemauer heute unbedeutend denkmal stresemannstraße richtung spd zentral efeubewachsen finden askania klause wild bahnhofskneipe mal kiloweis hart droge ausgehoben heute stadtklause kulturkneipe kiloweise kultur überraschungen stadtklause biedermeier proportion leute klein damals entsprechend stube kneipe keller eng heute kneip raffiniert bestuhlt bebanken zwangsläufig gemütlich kell ausstellung etage manchmal geben für auge geben kulturell kopp geben magen deutsch küche seele geben nehmen tisch wahr frau gebürtig portugal momentan hannover befindlich berlin wohnung alt tag kürzlich besorgt lernen drei europäer kennen ebenfalls berlin schon zeit leben italienerin zwei spanierinn nett berliner frau stadtklause begleiten schon bekanntschaftsknot berlin knüpfen schon information sammeln momentan berlin ansehensweren pergamon panorama ende september öffnen flair stadtklause wohl mal zeit bruno schleinstein angezog berliner straßenkünstler medizinisch experte dritter reich geistig behindern deklarieren werden bruno ausnahmekünstler straßenmusikant west berlin allseits bekannt schauspieler ziemlich berühmtheit erlangen werner herzogs film gott film stroszek schluss szene werner herzogs stroszek bruno schleinstein sterben geben vernissage fotoausstellung emotions ultralightphotos uhr goo gl mlatc galerie link posterfoto,5
kneipe alt gemütlich dunkel gut bier gut essen toll bilder historie ort wohlfühlen,5
typisch berliner küche lecker kommen gerne lokal groß mehrere vielleicht reservieren urgemütlich einrichtung bedienung freundlich wortkarg halt typisch berlin passen,5
arbeiten ganz nähe gehen ca woche mittag essen geben immer drei gericht angebot eur eur eur schmecken immer lecker koch wirklich sympathisch echt marke immer wenig stress definitv gut kochen schonmal selbstgebacken brot bestellen klein eur ende brot pfund wiegen immer wünsche äußern gerne essen meistens umsetzen gehen gerne,4
gäste stadt urig werden altberlin pur bruno vergessen jahr sorry,4
arbeiten gleich nebenan kollege essen täglich mittag vegetarier eher geeignet speisen gutbürgerlich ende woche gerne mal nudel kartoffel reisauflauf teller kommen offensichtlich eigentlich gut irgendwie,2
erwartung originell einrichtung enttäuschen gleich ecke askanisch platz stolpern quasi linkerhand schmal haus altertümlich geformt gitterfenst tür urig bereits eingang schwenkflügeltür holz scheinbar einzig luftaustausch organisieren geben einzig fenster wehe zeche zahlen parterre nahezu wände böden ecke decken holzverkleiden wenig schräg wahrnehmung befinden holzdampfer bahnabteil tun erster raum haus breit holzbänk ala klasse bahnfahren laden schmal tisch stehend sitzendem verweil wänd foto alt tag aufgezog minuspunkt leider raum rein akustisch bereits weniger mannstärken voll dabei jung mensch handeln reichen bereits tisch gleich acht neun vertreter beiderlei geschlecht drängen gestern mitten woche gruppe treffen trinken schwatzen essen erster mal rund kennenlern mitbürg findung lebenssinn begriffen tauschen beschwingt situation droge übermaß postpubertär revierargument kombination hiesig eng ertragen benötigen überaus gehörig portion alkohol glücklicherweise einzig raum lokalität hinterer ende führen neben durchgang schmal treppe keller haus derart alt betrachter bierglas hand zunächst tonnengewölbe bestaunen dürfen selten trotzdem wahr mühevoll herrichtung keller toilette sauber ausstellungsraum zeitlich beschränkt ausstellungsexponat besichtigen zeit originalteile alt anhaltinisch bahnhof ja wissen mehr existieren einst entlang königgräzer str wichtig bauwerk hotel excelsior philharmonie tempodrom entstehen wichtig aspekte verkehrsplanung jahrzehnte berlin baustellen bescheren geben entsprechend hierzu historie aufzuarbeit diverser tafel foto geschichtlich abrisse interesse ruhe ordentlich besichtigen dabei sicherlich fachsimpeln hauptanteil ausstellung gehören zeit abriss berliner philharmonie kriegsend unweit bernburg str finden minuspunkt kellerlag eigentlich tageslichtfrei aufhalten erster gastraum gelang durchgang ähnlich innerer gastraum obergeschoss theke hinterer ende glas verbaut küche erreichbar spätestens treffen gastwirt freundlich kompetent wünschen entgegen nehmen tun routiniert verbindlich zugleich entscheidend zugabe hause verschweigen soeben schon keller besichtigen dürfen komplett laden stehen thema anhalt bahnhof sowie verkehrs bahngeschichtlich entwicklung berlin überhaupt ausreichend anschaulichen alt kartenmaterial dargeboen helfen trübster stimmung interesse wecken vielleicht gar förderverein anhalt bahnhof lehrter bahnhof berlin ev geben interesse leistung jung blond mann koch versuchen karte bieten getränke abfüllung vorzugsweise saft colapreisen eur sowie pils eur halb sowie kölsch speisen grundsätzlich vorneweg gut essen gehen dannn besuchen bitte klause essen immer essen mitnimmen nebenbei essen möchten essen geben kosten eur größe vorzuweisen richtig satt speisen einfach klein gericht geboten allesamt selber mutti zumindest schon kennen büchsen tiefkühlfach finden geben buletten schnitzel wiener art bratkartoffeln suaerkraut geben spaghetti immer gerade drauf gepasst warm essen einfach deshalb lecker sicherlich stern wert spaghetti minus schmecken spaghetti einst premiere party studentenbude mann mitgekochen stolz erstlingswerk wenigstens anbrennt sosse haften sammeln,4
stadtklause klein berliner lokal essen täglich zwei angebot wahl eur eins eur gerichten eher deftig unbedingt vegetarier geeignet dennoch bemühen koch chef stets fleischesser anbieten lichttechnisch issen eher dunkl machen charme lokal drinnen finden vieler alt foto benachbart anhalter bahnhof positiv stets nachschlag holen für mittag zwischendurch stadtklause gerne mal geeignet jedoch voll gehen vieler angestellter angrenzend firma verlag verbänden essen wer mal n richtig berliner ansehen möchten beißer brauchen stadtklause fall mal besuchen ps beitrag bereits bei zweiter eintrag stadtklause schreiben doppelt ja immer gut deshalb hierher kopieren bei löschen,4
stadtklause mal ausprobieren jedoch fehlgriff kellner null ahnung gast behandeln insgesamt chaos dunkl raum eng empfehlen,1
melden vonklappstullennichtsobegeistert tochter siri wort kommen eher zufällig stadtklause tag verfallen gehen allwöchentlich eierbemm käse schinken genießen freund zusammenzusitzen paar heiter stunde angenehm ambiente verbringen laden urig holzverkleidet wand schmücken allerlei klimbim bereits lange vergangen zeit ganz gemütlichkeit mehr aufwert musik dudeln genüsslich leise hintergrund sodass angenehm unterhalten oberer geschoss mittlereil toll chilllounge entstehen sofas lümmeln zeit vergessen team stadtklause hoch loben bereiten vorzüglich einfach mahlzeit jedesmal wahr gaumenschmaus herzlich emfangen verwöhnen ebenso herzlich verabschieden kommen immer gerne her hauen wanst toll köstlichkeit stadtklause bieten voll,5
wirklich lecker einfach ess unkitschig gemütlich absolut authentisch freundlich bewirtung leckerst kölsch berlin mühle empfehlen,5
super ort nachtausflug ansonsten tot gegend rustikal küche kassler kraut kloss sosse akzeptabl preis geben hausherrn platt lecker mettschnittch bier wohl immer freuen laden voll hinterer teil können tanzen viele machen vorne sitzen eher gemütlich biertrinkerfraktion alt gemischt nationalität lustig mischung heimelig atmosphäre lernen schnell neu leute kennen nacht lang,4
wann immer berlin nähe arbeiten wissen toll eintopf schätzen sogar mehrere tag hintereinander,4
urig kneipe eng kaum grösser zugsabteil kommen nah nah ansprechend bierauswahl essen deftig wohltuend differenz all touristenfallen rund anhalter bahnhof decken lang benjamin zitat mehr,5
klein urgemütlich laden alt berlin atmosphäre wer freunden feierabend mal pflegen bierchen zischen richtig aufheben,5
studentenkneipe studieren gleich ecke immer freundlich herren bier immer gut oben super ungemütlich licht machen irgendwie dafür dürfen rauchen nieder decken gemütlich wechselnd ausstellung oben essen immer gut schnell klo immer sauber keller gibts klavier mehr gehen wirklich gerne schon gut gut abend verbringen,5
gut einfach essen bedienung wirken manchmal zertstreut dick pro menschlich authentizität frisch bouletten unwuchtig ambiente,4
immer kollege potsdamer platz arbeiten feierabendbi trinken wollen mussten ortswechsel vornehmen voll teuer touristenfall potsdamer platzes gehen tag kollege zufall bernburg staße geraten stadtschänke erspähen schon äußer interessant eindruck machen beschließen mal glück versuchen finden uhr ankamen laden fast leer spät ändern richtig voll sein sicher laden selber versteckt lage liegen wirt super nett nachfrage kneipe erstmals urkundlich erwähnen werden erzählen ruck zuck bedienen bieren geben super lecker dunkelbier name entfallen gut weizenbier abzüge geben note leider berliner pilsener gezapft werden gebürtig berliner berliner brauerzeugnisse gewöhnungsbedürftig richtig punkten können lokal speisen neben soljanka schnitzel tageskarte geben belegt brote denkbar variante stramm max entscheiden wahl bereuen brot selbstgemacht dick geschnitt pfanne angebraten ganz eiern schinkenwürfeln ordentlich belegen sensationell günstig preis anbetracht preis potz korrespondieren überaus günstig bierpreisen fazit klasse laden häufig besuchen frau ausgang gewähren,5
abend volv fantastisch jung bedienung supersüß spanisch akzent helfen paar tapa zusammen stellen flink serviert kürzester zeit essen verpassen zweiter getränkeaufnahme allerdings anzukreiden volver gut besuchen mischung kalt warm tapas sieben schälche insgesamt pappsatt ende knapp euro inklusive getränke absolut human preis leistung verhältnis wunderbar schmecken geschmacksfestival mund volv groß außen scheinen trotzdem reservierung empfehlen mehr zwei person ganz easy online machen gut klappen,5
woche abend spontan zwei klein speise halb liter rotwein eingekehren datteln speckmantel eifach speise falsch daran großartig gefüllt überraschenderweise mandel pimientos de padron fast spanien grün paprika frittieren meersalz gereichen leider tick fettig aussen mehr ganz knackig lang aufenthalt barcelona etwa wählerisch innen romantisch ruhig atmosphäre angenehm beleuchtung leise spanisch musik hintergrund serrano schicken knoblauch dienen dekoration theke keller fein ruhig freundlich mann gerne gast weit tapas ausprobieren momentan stern essen geschmack aussehen frisch reife preis location sauberkeit ambiente atmosphäre service freundlichkeit flexibilität aufmerksamkeit total,4
besuch berlin nett tapa bar freitag abend ausprobiert nett klein lädch spanisch flair laden gesellig abend tapas allesamt köstlic qualitativ hochwertig portionen riesig ende mehr satt personal bisschen langsam freundlich gefühl bisschen spanien erleben spanisch angehaucht akzent sprechen lohnen hinzugehen spanisch klein köstlichkeit kugelrund essen,4
volv luisenstraße gut tapasläd berlin service aufmerksam gastfreundlich essen spitz highlight karamellisieren ziegenkäse gefüllt paprikaschott garnele datteln speckmantel weiß hauswein empfehlen kommen immer gerne,5
märz nochmal beruflich bedingt berlin we drangehang gut freund volver gehen ja finden beide super gastlichkeit klasse tapa gerne immer neu entdecken gerne wiederkommen,4
freitagabend leute laden voll reservierung unbedingt notwendig einfach super abend tapa schmecken datteln speckmantel gefüllt krokett traum gleich doppelt bestellen jederzeit wiederkommen,5
heute wiederholt mal volver immer begeistern haus kommen beginn brot aiolo sowie grün schwarz oliv tapa gut topfavorit karamellisiert ziegenkäse wobei schon fast nachtisch bestellen können chef rotwein empfehlen extrem gut personal freundlich aufmerksam einzig bemängel essen schnell kommen aperitif campari orange bestellen haben vielleicht warten sollen ausgetrunk aperitif wein tapas gleichzeitig tisch,5
essen gut preis qualität angemessen besonders champignons patata bravas empfehlen,4
ol freundin denken bisher kennen gut tapa volv manchego marmelade hähnchenkeul knoblauch kartoffeltart tomatenbrot spanisch salat natürlich oliv schön ros abendsonne fantastisch liebe anrichten unglaublich lecker frisch service freundlich unaufdringlich bisschen unaufdringlich haben zwei stunde bestimmen mehr glas wein getrunken dessert bestellen zusammen eur inklusive wein flasche wasser finden preis mehr angemessen bekommen menge qualität volv fall nochmal besuchen falls mal kurzurlaub spanien brauchen,4
leider unfreundlich werden reklamation mitarbeiter belächeln spät beschimpfen schlecht speise angebrannen brötchen aufbackbrötch discounter witz fazit leben niemals,1
seit jahr laden rein irgendwie kommen nie gestern abend soweit schon mal vorneweg richtig toll vormittag reservieren tisch aufgrund hinweis schwierig platz finden sprechen anrufbeantworter werden spät zurückgerufen zwecks bestätigung uhr betrat klein gemütlich rustikal lokal zeitpunkt voll vieler tisch schon reservieren schön platz frei gehalt eckbank kissen wirklich süß kellner bringen gleich kart vollständig fragen schon bestellen mögen lieber warten möchten entschieden zweiterer kellner aufmerksam aufdringlich mögen entschieden syrah flasche wasser gleich beginn werden schälchen lecker oliven servieren sowie knoblauch crem mini baguettes knoblauch creme toll genau richtig menge knoblauch tapas nehmen special bratkartoffeln chorizo wachtelei sowie mehrere klassiker datteln speckmantel nie zuvor lecker verzehren spanisch kartoffelomlett tortilla de patatas hühnchen scharf honig fleischbällch weissweinsosse geben gestern abend leider obwohl schon gut sättigen entscheiden dessert karamelliertem ziegenkäse köstlich einfach schön abend perfekt zubereitet essen wirklich gedicht kommen bestimmt preislich schon heben person eur,5
berlin vergleichsmöglichkeit spanier wirklich schlecht personal freundlich speisen reichhaltig preis meinung hoch wohl lage regierungsviertel liegen fünfköpfig gruppe vielzahl warm kalte tappa bestellen gericht aussetzen gut schmackhaft nächster berlinaufenthalt sicherlich einkehren,5
mal schnell gehen bieten volv kulinarisch kurztrip andalusien leider weit ab schuss liegen gerade deshalb durchaus geheimtipp ansehen,3
klein bodega tapasrestaurant klein aussenterrasse raucher toplocation span küche sowohl datteln speckmantel gambas -- ajillo kartoffel pikant sauce spitze zweit bezahlt euro samt rotwein datteln je stück hähnchen honigsalsascharf hmmmm garnelen knoblauchsauce krokett hühnchen sowie kartoffel ca stück frühlingskartoffel finden billig preis fall wert heisst ebay gerne,5
super nett laden ausgezeichneten tapasund wein vergessen spreise frisch bedienung freundlich zuvorkommend super gelungen abend dank schön restaurantes mitten berlin preis gehoben dafür bekommen qualität bieten,5
nett atmosphäre leckere tapas auswahl her groß ganz vieler tapa bar üblich sympathisch service offen rotwein ebenfalls gut schon fast unverschämt teuer übrig preis finden ok,5
nett bedienung super leckern tapas heute schön abend volv bald kommen weit spezialität probieren,5
volver statt papa tapa kommentar beiträge vorgänger abzielt müssen aktualisieren neu betreiber suchen eigen weg fein tapas erlesen spanisch wein leider geben garten terrasse innen gemütlich tapas lecker,4
definitiv gut ort tapas berlin marie bereit absolut autenthisch tapa täglich frisch gut zutat michael dürfen servieren klein geheimtip nah pariser platz reichstag,5
anstrengend berliner firmenlauf elft wunderschön abend verbringen tapasauswahl überraschen lassen begeistert empfehlen wein gut halten mitgegebe versprechen schädel bewirtung herzlich freuen schon nächster gelegenheit einkehren,5
essen bedienung ambiente top getränkepreise sollen nochmal überdacht durchaus üblich standard entsprechen exorbitant teuer trotzdem gut wahl,4
tapa bischen klebrig trotz hiwneis scharf genug zutaten ganz frisch bedienung ganz nett einrichtung passen toerisch gemütlich tief winter zudem bischen frisch wer tapas mögen probierts mal,3
immer gerne gut qualität service empfehlen speisen getränk lieb plätz früh buchen,5
neu bewirtschaftung seit monat gehen ronny standhaft wunderbar frau neu kraft iberisch sache tapas weiterhin sorgfältig wein fast genial atmosphäre stimmen name werden ändern konzept kaum laden ecke reinhardtstrasse bestehen lang drumrum nachbarschaftlich verbundenheit lokal verwurzelung realität,5
mittagessen volv klein gemütlich laden ehepaar führen mann eher steif verschließen machen bedienung spanisch frau küche fall leckere essen schade mittagskart homepage stellen klein hinweis fensterfront dreckig gerade appetit anregen ansonsten kommen gerne,4
wirklich hervorragend dringend empfehlung,5
